# This is the run log of LabScaleImpacts
# Experiment type: HOLSAPPLE1 (1)
# Time step used = 0.0002
# Top of regolith surface = 0.136654
# Impactor launch speed = 6.17
# Columns are (values in code units, d is penetration depth):
# [t]    [v_y]    [d]    [x]    [y]    [z]

0.000200    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000400    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000600    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000800    -6.170000    +0.042900    +0.000000    +0.193854    +0.000000
0.001000    -6.171947    +0.041666    +0.000000    +0.192620    +0.000000
0.001200    -6.173895    +0.040431    +0.000000    +0.191385    +0.000000
0.001400    -6.175842    +0.039196    +0.000000    +0.190150    +0.000000
0.001600    -6.177790    +0.037960    +0.000000    +0.188914    +0.000000
0.001800    -6.179737    +0.036724    +0.000000    +0.187678    +0.000000
0.002000    -6.181684    +0.035488    +0.000000    +0.186442    +0.000000
0.002200    -6.183632    +0.034251    +0.000000    +0.185205    +0.000000
0.002400    -6.185579    +0.033014    +0.000000    +0.183968    +0.000000
0.002600    -6.187527    +0.031776    +0.000000    +0.182730    +0.000000
0.002800    -6.189474    +0.030539    +0.000000    +0.181493    +0.000000
0.003000    -6.191422    +0.029300    +0.000000    +0.180254    +0.000000
0.003200    -6.193369    +0.028062    +0.000000    +0.179016    +0.000000
0.003400    -6.195316    +0.026823    +0.000000    +0.177777    +0.000000
0.003600    -6.197264    +0.025583    +0.000000    +0.176537    +0.000000
0.003800    -6.199211    +0.024343    +0.000000    +0.175297    +0.000000
0.004000    -6.201159    +0.023103    +0.000000    +0.174057    +0.000000
0.004200    -6.203106    +0.021862    +0.000000    +0.172816    +0.000000
0.004400    -6.205053    +0.020621    +0.000000    +0.171575    +0.000000
0.004600    -6.207001    +0.019380    +0.000000    +0.170334    +0.000000
0.004800    -6.208948    +0.018138    +0.000000    +0.169092    +0.000000
0.005000    -6.210896    +0.016896    +0.000000    +0.167850    +0.000000
0.005200    -6.212843    +0.015653    +0.000000    +0.166607    +0.000000
0.005400    -6.214790    +0.014410    +0.000000    +0.165365    +0.000000
0.005600    -6.216738    +0.013167    +0.000000    +0.164121    +0.000000
0.005800    -6.218685    +0.011923    +0.000000    +0.162877    +0.000000
0.006000    -6.220633    +0.010679    +0.000000    +0.161633    +0.000000
0.006200    -6.222580    +0.009435    +0.000000    +0.160389    +0.000000
0.006400    -6.224527    +0.008190    +0.000000    +0.159144    +0.000000
0.006600    -6.226475    +0.006945    +0.000000    +0.157899    +0.000000
0.006800    -6.228422    +0.005699    +0.000000    +0.156653    +0.000000
0.007000    -6.230370    +0.004453    +0.000000    +0.155407    +0.000000
0.007200    -6.232317    +0.003206    +0.000000    +0.154160    +0.000000
0.007400    -6.234264    +0.001959    +0.000000    +0.152913    +0.000000
0.007600    -6.236211    +0.000712    +0.000000    +0.151666    +0.000000
0.007800    -6.238158    -0.000535    +0.000000    +0.150419    +0.000000
0.008000    -6.240105    -0.001783    +0.000000    +0.149171    +0.000000
0.008200    -6.242052    -0.003032    +0.000000    +0.147922    +0.000000
0.008400    -6.243999    -0.004281    +0.000000    +0.146673    +0.000000
0.008600    -6.245946    -0.005530    +0.000000    +0.145424    +0.000000
0.008800    -6.247893    -0.006779    +0.000000    +0.144175    +0.000000
0.009000    -6.249840    -0.008029    +0.000000    +0.142925    +0.000000
0.009200    -6.251787    -0.009280    +0.000000    +0.141674    +0.000000
0.009400    -6.253734    -0.010530    +0.000000    +0.140424    +0.000000
0.009600    -6.255681    -0.011782    +0.000000    +0.139172    +0.000000
0.009800    -6.257627    -0.013033    +0.000000    +0.137921    +0.000000
0.010000    -6.259574    -0.014285    +0.000000    +0.136669    +0.000000
0.010200    -6.261521    -0.015537    +0.000000    +0.135417    +0.000000
0.010400    -6.263468    -0.016790    +0.000000    +0.134164    +0.000000
0.010600    -5.614192    -0.017928    -0.000039    +0.133026    -0.000009
0.010800    -5.186572    -0.018986    -0.000111    +0.131968    -0.000026
0.011000    -4.846172    -0.019973    -0.000209    +0.130981    -0.000046
0.011200    -4.711155    -0.020927    -0.000317    +0.130027    -0.000067
0.011400    -3.467005    -0.021655    -0.000427    +0.129299    -0.000095
0.011600    -3.268592    -0.022321    -0.000540    +0.128633    -0.000122
0.011800    -2.613061    -0.022829    -0.000690    +0.128125    -0.000155
0.012000    -2.062792    -0.023224    -0.000824    +0.127730    -0.000186
0.012200    -1.743253    -0.023560    -0.000945    +0.127394    -0.000220
0.012400    -1.552220    -0.023857    -0.001055    +0.127097    -0.000252
0.012600    -1.418541    -0.024136    -0.001156    +0.126818    -0.000284
0.012800    -1.333634    -0.024399    -0.001252    +0.126555    -0.000317
0.013000    -1.222357    -0.024644    -0.001338    +0.126310    -0.000350
0.013200    -1.160803    -0.024873    -0.001420    +0.126081    -0.000383
0.013400    -1.088935    -0.025091    -0.001495    +0.125863    -0.000414
0.013600    -1.059846    -0.025303    -0.001567    +0.125651    -0.000444
0.013800    -1.030515    -0.025509    -0.001634    +0.125445    -0.000473
0.014000    -0.956630    -0.025701    -0.001690    +0.125253    -0.000499
0.014200    -0.939440    -0.025887    -0.001742    +0.125067    -0.000524
0.014400    -0.897873    -0.026067    -0.001790    +0.124887    -0.000546
0.014600    -0.888702    -0.026245    -0.001836    +0.124709    -0.000568
0.014800    -0.843146    -0.026414    -0.001877    +0.124540    -0.000588
0.015000    -0.832510    -0.026581    -0.001916    +0.124373    -0.000606
0.015200    -0.796648    -0.026742    -0.001952    +0.124212    -0.000623
0.015400    -0.774213    -0.026896    -0.001985    +0.124058    -0.000638
0.015600    -0.751623    -0.027047    -0.002016    +0.123907    -0.000651
0.015800    -0.728326    -0.027192    -0.002044    +0.123762    -0.000662
0.016000    -0.703874    -0.027333    -0.002070    +0.123621    -0.000672
0.016200    -0.680239    -0.027470    -0.002093    +0.123484    -0.000679
0.016400    -0.641843    -0.027598    -0.002109    +0.123356    -0.000685
0.016600    -0.617498    -0.027721    -0.002123    +0.123233    -0.000690
0.016800    -0.602772    -0.027842    -0.002136    +0.123112    -0.000694
0.017000    -0.587124    -0.027959    -0.002148    +0.122995    -0.000697
0.017200    -0.576385    -0.028075    -0.002158    +0.122879    -0.000699
0.017400    -0.565672    -0.028188    -0.002168    +0.122766    -0.000700
0.017600    -0.551964    -0.028298    -0.002176    +0.122656    -0.000700
0.017800    -0.537443    -0.028406    -0.002183    +0.122548    -0.000699
0.018000    -0.527975    -0.028511    -0.002189    +0.122443    -0.000697
0.018200    -0.519075    -0.028615    -0.002193    +0.122339    -0.000694
0.018400    -0.511026    -0.028717    -0.002197    +0.122237    -0.000690
0.018600    -0.503877    -0.028818    -0.002200    +0.122136    -0.000685
0.018800    -0.496972    -0.028917    -0.002202    +0.122037    -0.000680
0.019000    -0.488785    -0.029015    -0.002204    +0.121939    -0.000674
0.019200    -0.479859    -0.029111    -0.002204    +0.121843    -0.000667
0.019400    -0.470858    -0.029205    -0.002204    +0.121749    -0.000660
0.019600    -0.461343    -0.029297    -0.002203    +0.121657    -0.000652
0.019800    -0.454613    -0.029388    -0.002201    +0.121566    -0.000644
0.020000    -0.449492    -0.029478    -0.002199    +0.121476    -0.000636
0.020200    -0.445985    -0.029567    -0.002196    +0.121387    -0.000627
0.020400    -0.443472    -0.029656    -0.002193    +0.121298    -0.000618
0.020600    -0.439945    -0.029744    -0.002190    +0.121210    -0.000608
0.020800    -0.435766    -0.029831    -0.002186    +0.121123    -0.000598
0.021000    -0.430557    -0.029917    -0.002182    +0.121037    -0.000588
0.021200    -0.425480    -0.030002    -0.002177    +0.120952    -0.000578
0.021400    -0.419562    -0.030086    -0.002172    +0.120868    -0.000567
0.021600    -0.413552    -0.030169    -0.002166    +0.120785    -0.000555
0.021800    -0.406707    -0.030250    -0.002159    +0.120704    -0.000543
0.022000    -0.400907    -0.030330    -0.002152    +0.120624    -0.000531
0.022200    -0.394759    -0.030409    -0.002144    +0.120545    -0.000518
0.022400    -0.389109    -0.030487    -0.002136    +0.120467    -0.000505
0.022600    -0.383629    -0.030564    -0.002127    +0.120390    -0.000492
0.022800    -0.378258    -0.030640    -0.002118    +0.120314    -0.000479
0.023000    -0.373235    -0.030714    -0.002108    +0.120240    -0.000465
0.023200    -0.368918    -0.030788    -0.002098    +0.120166    -0.000450
0.023400    -0.365539    -0.030861    -0.002087    +0.120093    -0.000436
0.023600    -0.362131    -0.030933    -0.002076    +0.120021    -0.000422
0.023800    -0.359546    -0.031005    -0.002065    +0.119949    -0.000407
0.024000    -0.357759    -0.031077    -0.002053    +0.119877    -0.000392
0.024200    -0.355761    -0.031148    -0.002041    +0.119806    -0.000377
0.024400    -0.354064    -0.031219    -0.002029    +0.119735    -0.000362
0.024600    -0.352910    -0.031289    -0.002017    +0.119665    -0.000347
0.024800    -0.351431    -0.031359    -0.002004    +0.119595    -0.000331
0.025000    -0.350151    -0.031429    -0.001991    +0.119525    -0.000316
0.025200    -0.347523    -0.031499    -0.001978    +0.119455    -0.000300
0.025400    -0.344189    -0.031568    -0.001965    +0.119386    -0.000284
0.025600    -0.325486    -0.031634    -0.001951    +0.119320    -0.000267
0.025800    -0.317770    -0.031697    -0.001939    +0.119257    -0.000249
0.026000    -0.314336    -0.031760    -0.001926    +0.119194    -0.000231
0.026200    -0.311147    -0.031822    -0.001913    +0.119132    -0.000213
0.026400    -0.296336    -0.031882    -0.001901    +0.119072    -0.000195
0.026600    -0.289866    -0.031939    -0.001891    +0.119015    -0.000175
0.026800    -0.287606    -0.031997    -0.001880    +0.118957    -0.000156
0.027000    -0.285558    -0.032054    -0.001870    +0.118900    -0.000136
0.027200    -0.271931    -0.032109    -0.001860    +0.118845    -0.000116
0.027400    -0.265886    -0.032161    -0.001852    +0.118793    -0.000095
0.027600    -0.264637    -0.032214    -0.001843    +0.118740    -0.000074
0.027800    -0.264049    -0.032267    -0.001835    +0.118687    -0.000052
0.028000    -0.263679    -0.032320    -0.001827    +0.118634    -0.000031
0.028200    -0.251953    -0.032370    -0.001819    +0.118584    -0.000009
0.028400    -0.246479    -0.032419    -0.001813    +0.118535    +0.000013
0.028600    -0.241839    -0.032468    -0.001806    +0.118486    +0.000035
0.028800    -0.232973    -0.032515    -0.001800    +0.118439    +0.000058
0.029000    -0.223330    -0.032560    -0.001795    +0.118394    +0.000080
0.029200    -0.213917    -0.032602    -0.001790    +0.118352    +0.000103
0.029400    -0.205919    -0.032644    -0.001785    +0.118310    +0.000125
0.029600    -0.197670    -0.032683    -0.001781    +0.118271    +0.000148
0.029800    -0.191078    -0.032721    -0.001778    +0.118233    +0.000170
0.030000    -0.184382    -0.032758    -0.001774    +0.118196    +0.000193
0.030200    -0.178967    -0.032794    -0.001771    +0.118160    +0.000215
0.030400    -0.173981    -0.032829    -0.001768    +0.118125    +0.000237
0.030600    -0.169606    -0.032863    -0.001766    +0.118091    +0.000260
0.030800    -0.164969    -0.032896    -0.001763    +0.118058    +0.000282
0.031000    -0.161069    -0.032928    -0.001761    +0.118026    +0.000304
0.031200    -0.157587    -0.032959    -0.001759    +0.117995    +0.000326
0.031400    -0.154896    -0.032990    -0.001757    +0.117964    +0.000348
0.031600    -0.152519    -0.033021    -0.001756    +0.117933    +0.000370
0.031800    -0.149810    -0.033051    -0.001754    +0.117903    +0.000392
0.032000    -0.147516    -0.033080    -0.001753    +0.117874    +0.000414
0.032200    -0.142058    -0.033108    -0.001751    +0.117846    +0.000435
0.032400    -0.136695    -0.033136    -0.001750    +0.117818    +0.000457
0.032600    -0.131516    -0.033162    -0.001748    +0.117792    +0.000479
0.032800    -0.126772    -0.033188    -0.001746    +0.117766    +0.000501
0.033000    -0.122450    -0.033212    -0.001744    +0.117742    +0.000522
0.033200    -0.118370    -0.033236    -0.001741    +0.117718    +0.000543
0.033400    -0.114458    -0.033259    -0.001738    +0.117695    +0.000565
0.033600    -0.111221    -0.033281    -0.001735    +0.117673    +0.000586
0.033800    -0.108432    -0.033302    -0.001731    +0.117652    +0.000607
0.034000    -0.106059    -0.033324    -0.001727    +0.117630    +0.000628
0.034200    -0.104240    -0.033344    -0.001723    +0.117610    +0.000650
0.034400    -0.102672    -0.033365    -0.001718    +0.117589    +0.000671
0.034600    -0.101352    -0.033385    -0.001713    +0.117569    +0.000692
0.034800    -0.100145    -0.033405    -0.001709    +0.117549    +0.000713
0.035000    -0.099069    -0.033425    -0.001704    +0.117529    +0.000734
0.035200    -0.097978    -0.033445    -0.001699    +0.117509    +0.000755
0.035400    -0.096798    -0.033464    -0.001693    +0.117490    +0.000776
0.035600    -0.095689    -0.033483    -0.001688    +0.117471    +0.000797
0.035800    -0.094456    -0.033502    -0.001683    +0.117452    +0.000818
0.036000    -0.093290    -0.033521    -0.001677    +0.117433    +0.000839
0.036200    -0.092104    -0.033539    -0.001672    +0.117415    +0.000860
0.036400    -0.090973    -0.033557    -0.001666    +0.117397    +0.000881
0.036600    -0.090020    -0.033575    -0.001661    +0.117379    +0.000902
0.036800    -0.089021    -0.033593    -0.001655    +0.117361    +0.000923
