# This is the run log of LabScaleImpacts
# Experiment type: HOLSAPPLE1 (1)
# Time step used = 0.0002
# Top of regolith surface = 0.136654
# Impactor launch speed = 6.92
# Columns are (values in code units, d is penetration depth):
# [t]    [v_y]    [d]    [x]    [y]    [z]

0.000200    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000400    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000600    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000800    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.001000    -6.920000    +0.042900    +0.000000    +0.193854    +0.000000
0.001200    -6.921946    +0.041516    +0.000000    +0.192470    +0.000000
0.001400    -6.923892    +0.040131    +0.000000    +0.191085    +0.000000
0.001600    -6.925838    +0.038746    +0.000000    +0.189700    +0.000000
0.001800    -6.927784    +0.037360    +0.000000    +0.188314    +0.000000
0.002000    -6.929730    +0.035974    +0.000000    +0.186928    +0.000000
0.002200    -6.931676    +0.034588    +0.000000    +0.185542    +0.000000
0.002400    -6.933622    +0.033201    +0.000000    +0.184155    +0.000000
0.002600    -6.935568    +0.031814    +0.000000    +0.182768    +0.000000
0.002800    -6.937514    +0.030426    +0.000000    +0.181380    +0.000000
0.003000    -6.939460    +0.029039    +0.000000    +0.179993    +0.000000
0.003200    -6.941405    +0.027650    +0.000000    +0.178604    +0.000000
0.003400    -6.943351    +0.026262    +0.000000    +0.177216    +0.000000
0.003600    -6.945296    +0.024873    +0.000000    +0.175827    +0.000000
0.003800    -6.947242    +0.023483    +0.000000    +0.174437    +0.000000
0.004000    -6.949187    +0.022093    +0.000000    +0.173047    +0.000000
0.004200    -6.951133    +0.020703    +0.000000    +0.171657    +0.000000
0.004400    -6.953078    +0.019312    +0.000000    +0.170266    +0.000000
0.004600    -6.955024    +0.017921    +0.000000    +0.168875    +0.000000
0.004800    -6.956969    +0.016530    +0.000000    +0.167484    +0.000000
0.005000    -6.958915    +0.015138    +0.000000    +0.166092    +0.000000
0.005200    -6.960860    +0.013746    +0.000000    +0.164700    +0.000000
0.005400    -6.962806    +0.012354    +0.000000    +0.163308    +0.000000
0.005600    -6.964751    +0.010961    +0.000000    +0.161915    +0.000000
0.005800    -6.966697    +0.009567    +0.000000    +0.160521    +0.000000
0.006000    -6.968642    +0.008174    +0.000000    +0.159128    +0.000000
0.006200    -6.970588    +0.006779    +0.000000    +0.157733    +0.000000
0.006400    -6.972533    +0.005385    +0.000000    +0.156339    +0.000000
0.006600    -6.974479    +0.003990    +0.000000    +0.154944    +0.000000
0.006800    -6.976424    +0.002595    +0.000000    +0.153549    +0.000000
0.007000    -6.978370    +0.001199    +0.000000    +0.152153    +0.000000
0.007200    -6.980315    -0.000197    +0.000000    +0.150757    +0.000000
0.007400    -6.982261    -0.001593    +0.000000    +0.149361    +0.000000
0.007600    -6.984206    -0.002990    +0.000000    +0.147964    +0.000000
0.007800    -6.986152    -0.004388    +0.000000    +0.146566    +0.000000
0.008000    -6.988097    -0.005785    +0.000000    +0.145169    +0.000000
0.008200    -6.990043    -0.007183    +0.000000    +0.143771    +0.000000
0.008400    -6.991988    -0.008582    +0.000000    +0.142372    +0.000000
0.008600    -6.993934    -0.009980    +0.000000    +0.140974    +0.000000
0.008800    -6.995879    -0.011380    +0.000000    +0.139574    +0.000000
0.009000    -6.997825    -0.012779    +0.000000    +0.138175    +0.000000
0.009200    -6.999770    -0.014179    +0.000000    +0.136775    +0.000000
0.009400    -7.001716    -0.015579    +0.000000    +0.135375    +0.000000
0.009600    -7.003661    -0.016980    +0.000000    +0.133974    +0.000000
0.009800    -6.293358    -0.018255    -0.000047    +0.132699    -0.000011
0.010000    -5.863519    -0.019449    -0.000128    +0.131505    -0.000030
0.010200    -5.579803    -0.020576    -0.000237    +0.130378    -0.000054
0.010400    -4.040405    -0.021412    -0.000362    +0.129542    -0.000090
0.010600    -3.629354    -0.022141    -0.000521    +0.128813    -0.000137
0.010800    -2.887625    -0.022717    -0.000686    +0.128237    -0.000201
0.011000    -2.494975    -0.023210    -0.000821    +0.127744    -0.000254
0.011200    -2.137141    -0.023637    -0.000944    +0.127317    -0.000309
0.011400    -1.949712    -0.024025    -0.001059    +0.126929    -0.000356
0.011600    -1.792774    -0.024376    -0.001167    +0.126578    -0.000404
0.011800    -1.656587    -0.024707    -0.001262    +0.126247    -0.000447
0.012000    -1.520836    -0.025012    -0.001351    +0.125942    -0.000490
0.012200    -1.453103    -0.025300    -0.001435    +0.125654    -0.000531
0.012400    -1.310979    -0.025562    -0.001503    +0.125392    -0.000567
0.012600    -1.266210    -0.025815    -0.001568    +0.125139    -0.000601
0.012800    -1.182410    -0.026052    -0.001623    +0.124902    -0.000632
0.013000    -1.148849    -0.026281    -0.001676    +0.124673    -0.000662
0.013200    -1.116659    -0.026504    -0.001726    +0.124450    -0.000689
0.013400    -1.070602    -0.026719    -0.001772    +0.124235    -0.000713
0.013600    -1.031428    -0.026926    -0.001815    +0.124028    -0.000736
0.013800    -0.995957    -0.027125    -0.001854    +0.123829    -0.000756
0.014000    -0.952073    -0.027315    -0.001888    +0.123639    -0.000774
0.014200    -0.918613    -0.027499    -0.001918    +0.123455    -0.000790
0.014400    -0.884262    -0.027676    -0.001945    +0.123278    -0.000803
0.014600    -0.829153    -0.027843    -0.001965    +0.123111    -0.000814
0.014800    -0.793335    -0.028002    -0.001979    +0.122952    -0.000825
0.015000    -0.755066    -0.028153    -0.001986    +0.122801    -0.000833
0.015200    -0.730176    -0.028298    -0.001992    +0.122656    -0.000839
0.015400    -0.711477    -0.028441    -0.001997    +0.122513    -0.000844
0.015600    -0.688270    -0.028579    -0.001999    +0.122376    -0.000847
0.015800    -0.667323    -0.028712    -0.002000    +0.122242    -0.000849
0.016000    -0.649050    -0.028842    -0.001999    +0.122112    -0.000849
0.016200    -0.631250    -0.028968    -0.001997    +0.121986    -0.000849
0.016400    -0.616455    -0.029091    -0.001993    +0.121863    -0.000847
0.016600    -0.602605    -0.029211    -0.001988    +0.121743    -0.000844
0.016800    -0.591071    -0.029330    -0.001982    +0.121624    -0.000840
0.017000    -0.577699    -0.029445    -0.001975    +0.121509    -0.000836
0.017200    -0.566162    -0.029558    -0.001967    +0.121396    -0.000830
0.017400    -0.540871    -0.029666    -0.001958    +0.121288    -0.000823
0.017600    -0.532386    -0.029773    -0.001948    +0.121181    -0.000816
0.017800    -0.525335    -0.029878    -0.001937    +0.121076    -0.000807
0.018000    -0.518618    -0.029981    -0.001926    +0.120973    -0.000799
0.018200    -0.511703    -0.030083    -0.001914    +0.120871    -0.000790
0.018400    -0.504670    -0.030184    -0.001902    +0.120770    -0.000780
0.018600    -0.498087    -0.030284    -0.001889    +0.120670    -0.000770
0.018800    -0.491706    -0.030382    -0.001875    +0.120572    -0.000760
0.019000    -0.485850    -0.030479    -0.001861    +0.120475    -0.000749
0.019200    -0.479530    -0.030575    -0.001846    +0.120379    -0.000738
0.019400    -0.473988    -0.030670    -0.001831    +0.120284    -0.000726
0.019600    -0.469232    -0.030764    -0.001815    +0.120190    -0.000715
0.019800    -0.464346    -0.030857    -0.001798    +0.120097    -0.000703
0.020000    -0.459982    -0.030949    -0.001781    +0.120005    -0.000690
0.020200    -0.456391    -0.031040    -0.001764    +0.119914    -0.000678
0.020400    -0.453277    -0.031131    -0.001747    +0.119823    -0.000665
0.020600    -0.450615    -0.031221    -0.001729    +0.119733    -0.000652
0.020800    -0.447652    -0.031310    -0.001710    +0.119644    -0.000639
0.021000    -0.445407    -0.031399    -0.001692    +0.119555    -0.000626
0.021200    -0.443311    -0.031488    -0.001673    +0.119466    -0.000612
0.021400    -0.438053    -0.031576    -0.001653    +0.119378    -0.000598
0.021600    -0.432366    -0.031662    -0.001634    +0.119292    -0.000584
0.021800    -0.429594    -0.031748    -0.001614    +0.119206    -0.000570
0.022000    -0.427992    -0.031834    -0.001593    +0.119120    -0.000556
0.022200    -0.427137    -0.031919    -0.001573    +0.119035    -0.000541
0.022400    -0.410733    -0.032002    -0.001552    +0.118952    -0.000526
0.022600    -0.408169    -0.032083    -0.001531    +0.118871    -0.000510
0.022800    -0.398174    -0.032163    -0.001511    +0.118791    -0.000494
0.023000    -0.371910    -0.032238    -0.001491    +0.118716    -0.000476
0.023200    -0.364685    -0.032311    -0.001472    +0.118643    -0.000458
0.023400    -0.356459    -0.032382    -0.001453    +0.118572    -0.000439
0.023600    -0.347957    -0.032452    -0.001434    +0.118502    -0.000419
0.023800    -0.326242    -0.032517    -0.001416    +0.118437    -0.000397
0.024000    -0.318578    -0.032581    -0.001399    +0.118373    -0.000375
0.024200    -0.311427    -0.032643    -0.001382    +0.118311    -0.000352
0.024400    -0.302474    -0.032703    -0.001365    +0.118251    -0.000329
0.024600    -0.292416    -0.032762    -0.001348    +0.118192    -0.000305
0.024800    -0.272220    -0.032817    -0.001331    +0.118137    -0.000282
0.025000    -0.263494    -0.032869    -0.001314    +0.118085    -0.000258
0.025200    -0.254473    -0.032920    -0.001296    +0.118034    -0.000234
0.025400    -0.241330    -0.032969    -0.001279    +0.117985    -0.000211
0.025600    -0.227880    -0.033014    -0.001261    +0.117940    -0.000188
0.025800    -0.214903    -0.033057    -0.001244    +0.117897    -0.000164
0.026000    -0.201892    -0.033098    -0.001226    +0.117856    -0.000141
0.026200    -0.189733    -0.033135    -0.001209    +0.117819    -0.000118
0.026400    -0.178078    -0.033171    -0.001191    +0.117783    -0.000095
0.026600    -0.167180    -0.033204    -0.001174    +0.117750    -0.000072
0.026800    -0.157873    -0.033236    -0.001157    +0.117718    -0.000049
0.027000    -0.149704    -0.033265    -0.001139    +0.117689    -0.000026
0.027200    -0.142945    -0.033294    -0.001122    +0.117660    -0.000004
0.027400    -0.137646    -0.033321    -0.001105    +0.117633    +0.000018
0.027600    -0.133235    -0.033347    -0.001088    +0.117607    +0.000041
0.027800    -0.129752    -0.033373    -0.001071    +0.117581    +0.000063
0.028000    -0.127270    -0.033398    -0.001054    +0.117556    +0.000085
0.028200    -0.125486    -0.033423    -0.001037    +0.117531    +0.000107
0.028400    -0.124233    -0.033448    -0.001019    +0.117506    +0.000129
0.028600    -0.123269    -0.033473    -0.001002    +0.117481    +0.000150
0.028800    -0.122127    -0.033497    -0.000985    +0.117457    +0.000172
0.029000    -0.120682    -0.033521    -0.000968    +0.117433    +0.000194
0.029200    -0.118695    -0.033545    -0.000950    +0.117409    +0.000216
0.029400    -0.116570    -0.033568    -0.000933    +0.117386    +0.000237
0.029600    -0.114368    -0.033591    -0.000916    +0.117363    +0.000259
0.029800    -0.111933    -0.033613    -0.000898    +0.117341    +0.000280
0.030000    -0.109388    -0.033635    -0.000881    +0.117319    +0.000301
0.030200    -0.107115    -0.033656    -0.000864    +0.117298    +0.000323
0.030400    -0.104695    -0.033677    -0.000846    +0.117277    +0.000344
0.030600    -0.101974    -0.033698    -0.000829    +0.117256    +0.000365
0.030800    -0.099282    -0.033717    -0.000812    +0.117237    +0.000386
0.031000    -0.096057    -0.033737    -0.000795    +0.117217    +0.000407
0.031200    -0.092739    -0.033755    -0.000778    +0.117199    +0.000428
0.031400    -0.089579    -0.033773    -0.000761    +0.117181    +0.000449
0.031600    -0.086279    -0.033790    -0.000743    +0.117164    +0.000469
0.031800    -0.083388    -0.033807    -0.000726    +0.117147    +0.000490
0.032000    -0.081068    -0.033823    -0.000708    +0.117131    +0.000510
0.032200    -0.079146    -0.033839    -0.000691    +0.117115    +0.000530
0.032400    -0.077192    -0.033854    -0.000673    +0.117100    +0.000550
0.032600    -0.075699    -0.033869    -0.000656    +0.117085    +0.000570
0.032800    -0.074504    -0.033884    -0.000638    +0.117070    +0.000590
0.033000    -0.073625    -0.033899    -0.000621    +0.117055    +0.000610
0.033200    -0.072842    -0.033913    -0.000603    +0.117041    +0.000630
0.033400    -0.072302    -0.033928    -0.000586    +0.117026    +0.000650
0.033600    -0.071750    -0.033942    -0.000568    +0.117012    +0.000670
0.033800    -0.071036    -0.033956    -0.000551    +0.116998    +0.000690
0.034000    -0.070341    -0.033970    -0.000533    +0.116984    +0.000709
0.034200    -0.069580    -0.033984    -0.000516    +0.116970    +0.000729
0.034400    -0.068968    -0.033998    -0.000498    +0.116956    +0.000749
0.034600    -0.068258    -0.034012    -0.000481    +0.116942    +0.000768
0.034800    -0.067766    -0.034025    -0.000463    +0.116929    +0.000788
0.035000    -0.067119    -0.034039    -0.000446    +0.116915    +0.000807
0.035200    -0.066344    -0.034052    -0.000428    +0.116902    +0.000827
0.035400    -0.065656    -0.034065    -0.000411    +0.116889    +0.000846
0.035600    -0.064819    -0.034078    -0.000393    +0.116876    +0.000865
0.035800    -0.063966    -0.034091    -0.000376    +0.116863    +0.000885
0.036000    -0.063185    -0.034103    -0.000358    +0.116851    +0.000904
0.036200    -0.062264    -0.034116    -0.000341    +0.116838    +0.000923
0.036400    -0.061335    -0.034128    -0.000323    +0.116826    +0.000942
0.036600    -0.060374    -0.034140    -0.000305    +0.116814    +0.000961
0.036800    -0.059644    -0.034152    -0.000288    +0.116802    +0.000980
