# This is the run log of LabScaleImpacts
# Experiment type: HOLSAPPLE1 (1)
# Time step used = 0.0002
# Top of regolith surface = 0.136654
# Impactor launch speed = 4.3
# Columns are (values in code units, d is penetration depth):
# [t]    [v_y]    [d]    [x]    [y]    [z]

0.000200    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000400    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000600    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000800    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.001000    -4.300000    +0.042900    +0.000000    +0.193854    +0.000000
0.001200    -4.301951    +0.042040    +0.000000    +0.192994    +0.000000
0.001400    -4.303903    +0.041179    +0.000000    +0.192133    +0.000000
0.001600    -4.305854    +0.040318    +0.000000    +0.191272    +0.000000
0.001800    -4.307805    +0.039456    +0.000000    +0.190410    +0.000000
0.002000    -4.309756    +0.038594    +0.000000    +0.189548    +0.000000
0.002200    -4.311707    +0.037732    +0.000000    +0.188686    +0.000000
0.002400    -4.313659    +0.036869    +0.000000    +0.187823    +0.000000
0.002600    -4.315610    +0.036006    +0.000000    +0.186960    +0.000000
0.002800    -4.317561    +0.035142    +0.000000    +0.186096    +0.000000
0.003000    -4.319512    +0.034279    +0.000000    +0.185233    +0.000000
0.003200    -4.321464    +0.033414    +0.000000    +0.184368    +0.000000
0.003400    -4.323415    +0.032550    +0.000000    +0.183504    +0.000000
0.003600    -4.325366    +0.031684    +0.000000    +0.182638    +0.000000
0.003800    -4.327317    +0.030819    +0.000000    +0.181773    +0.000000
0.004000    -4.329268    +0.029953    +0.000000    +0.180907    +0.000000
0.004200    -4.331220    +0.029087    +0.000000    +0.180041    +0.000000
0.004400    -4.333171    +0.028220    +0.000000    +0.179174    +0.000000
0.004600    -4.335122    +0.027353    +0.000000    +0.178307    +0.000000
0.004800    -4.337073    +0.026486    +0.000000    +0.177440    +0.000000
0.005000    -4.339025    +0.025618    +0.000000    +0.176572    +0.000000
0.005200    -4.340976    +0.024750    +0.000000    +0.175704    +0.000000
0.005400    -4.342927    +0.023881    +0.000000    +0.174835    +0.000000
0.005600    -4.344878    +0.023012    +0.000000    +0.173966    +0.000000
0.005800    -4.346829    +0.022143    +0.000000    +0.173097    +0.000000
0.006000    -4.348781    +0.021273    +0.000000    +0.172227    +0.000000
0.006200    -4.350732    +0.020403    +0.000000    +0.171357    +0.000000
0.006400    -4.352683    +0.019532    +0.000000    +0.170486    +0.000000
0.006600    -4.354634    +0.018662    +0.000000    +0.169616    +0.000000
0.006800    -4.356585    +0.017790    +0.000000    +0.168744    +0.000000
0.007000    -4.358535    +0.016919    +0.000000    +0.167873    +0.000000
0.007200    -4.360486    +0.016046    +0.000000    +0.167000    +0.000000
0.007400    -4.362437    +0.015174    +0.000000    +0.166128    +0.000000
0.007600    -4.364388    +0.014301    +0.000000    +0.165255    +0.000000
0.007800    -4.366338    +0.013428    +0.000000    +0.164382    +0.000000
0.008000    -4.368289    +0.012554    +0.000000    +0.163508    +0.000000
0.008200    -4.370240    +0.011680    +0.000000    +0.162634    +0.000000
0.008400    -4.372190    +0.010806    +0.000000    +0.161760    +0.000000
0.008600    -4.374141    +0.009931    +0.000000    +0.160885    +0.000000
0.008800    -4.376092    +0.009056    +0.000000    +0.160010    +0.000000
0.009000    -4.378043    +0.008180    +0.000000    +0.159134    +0.000000
0.009200    -4.379993    +0.007304    +0.000000    +0.158258    +0.000000
0.009400    -4.381944    +0.006428    +0.000000    +0.157382    +0.000000
0.009600    -4.383895    +0.005551    +0.000000    +0.156505    +0.000000
0.009800    -4.385846    +0.004674    +0.000000    +0.155628    +0.000000
0.010000    -4.387796    +0.003796    +0.000000    +0.154750    +0.000000
0.010200    -4.389747    +0.002918    +0.000000    +0.153872    +0.000000
0.010400    -4.391698    +0.002040    +0.000000    +0.152994    +0.000000
0.010600    -4.393649    +0.001161    +0.000000    +0.152115    +0.000000
0.010800    -4.395599    +0.000282    +0.000000    +0.151236    +0.000000
0.011000    -4.397550    -0.000598    +0.000000    +0.150356    +0.000000
0.011200    -4.399501    -0.001477    +0.000000    +0.149477    +0.000000
0.011400    -4.401452    -0.002358    +0.000000    +0.148596    +0.000000
0.011600    -4.403402    -0.003238    +0.000000    +0.147716    +0.000000
0.011800    -4.405353    -0.004119    +0.000000    +0.146835    +0.000000
0.012000    -4.407304    -0.005001    +0.000000    +0.145953    +0.000000
0.012200    -4.409255    -0.005883    +0.000000    +0.145071    +0.000000
0.012400    -4.411205    -0.006765    +0.000000    +0.144189    +0.000000
0.012600    -4.413156    -0.007648    +0.000000    +0.143306    +0.000000
0.012800    -4.415107    -0.008531    +0.000000    +0.142423    +0.000000
0.013000    -4.417058    -0.009414    +0.000000    +0.141540    +0.000000
0.013200    -4.419008    -0.010298    +0.000000    +0.140656    +0.000000
0.013400    -4.420959    -0.011182    +0.000000    +0.139772    +0.000000
0.013600    -4.422910    -0.012067    +0.000000    +0.138887    +0.000000
0.013800    -4.424860    -0.012952    +0.000000    +0.138002    +0.000000
0.014000    -4.426811    -0.013837    +0.000000    +0.137117    +0.000000
0.014200    -4.428762    -0.014723    +0.000000    +0.136231    +0.000000
0.014400    -4.430713    -0.015609    +0.000000    +0.135345    +0.000000
0.014600    -4.432663    -0.016495    +0.000000    +0.134459    +0.000000
0.014800    -3.958356    -0.017301    -0.000028    +0.133653    -0.000007
0.015000    -3.690685    -0.018056    -0.000073    +0.132898    -0.000018
0.015200    -3.472788    -0.018759    -0.000141    +0.132195    -0.000033
0.015400    -3.210638    -0.019404    -0.000234    +0.131550    -0.000054
0.015600    -3.098178    -0.020031    -0.000332    +0.130923    -0.000075
0.015800    -2.826587    -0.020594    -0.000463    +0.130360    -0.000104
0.016000    -2.099062    -0.021014    -0.000598    +0.129940    -0.000137
0.016200    -1.891317    -0.021395    -0.000739    +0.129559    -0.000170
0.016400    -1.618504    -0.021719    -0.000875    +0.129235    -0.000204
0.016600    -1.490135    -0.022019    -0.001007    +0.128935    -0.000236
0.016800    -1.346333    -0.022287    -0.001130    +0.128667    -0.000269
0.017000    -1.159195    -0.022515    -0.001233    +0.128439    -0.000296
0.017200    -1.065005    -0.022728    -0.001330    +0.128226    -0.000323
0.017400    -0.987747    -0.022924    -0.001422    +0.128030    -0.000347
0.017600    -0.925649    -0.023108    -0.001512    +0.127846    -0.000369
0.017800    -0.878471    -0.023283    -0.001598    +0.127671    -0.000391
0.018000    -0.844222    -0.023451    -0.001684    +0.127503    -0.000410
0.018200    -0.783763    -0.023607    -0.001764    +0.127347    -0.000428
0.018400    -0.770336    -0.023761    -0.001842    +0.127193    -0.000444
0.018600    -0.737580    -0.023909    -0.001916    +0.127045    -0.000459
0.018800    -0.722698    -0.024053    -0.001989    +0.126901    -0.000473
0.019000    -0.700508    -0.024194    -0.002061    +0.126760    -0.000486
0.019200    -0.674929    -0.024329    -0.002131    +0.126625    -0.000499
0.019400    -0.646655    -0.024458    -0.002196    +0.126496    -0.000511
0.019600    -0.586637    -0.024578    -0.002255    +0.126376    -0.000521
0.019800    -0.578246    -0.024692    -0.002312    +0.126262    -0.000530
0.020000    -0.541387    -0.024802    -0.002364    +0.126152    -0.000537
0.020200    -0.533970    -0.024908    -0.002413    +0.126046    -0.000544
0.020400    -0.504949    -0.025009    -0.002460    +0.125945    -0.000549
0.020600    -0.506908    -0.025110    -0.002506    +0.125844    -0.000554
0.020800    -0.490756    -0.025209    -0.002550    +0.125745    -0.000558
0.021000    -0.490662    -0.025307    -0.002593    +0.125647    -0.000561
0.021200    -0.474065    -0.025403    -0.002636    +0.125551    -0.000564
0.021400    -0.456740    -0.025495    -0.002676    +0.125459    -0.000565
0.021600    -0.442127    -0.025583    -0.002714    +0.125371    -0.000565
0.021800    -0.428387    -0.025669    -0.002751    +0.125285    -0.000565
0.022000    -0.415418    -0.025752    -0.002786    +0.125202    -0.000563
0.022200    -0.401830    -0.025832    -0.002819    +0.125122    -0.000559
0.022400    -0.387621    -0.025910    -0.002850    +0.125044    -0.000555
0.022600    -0.373746    -0.025985    -0.002880    +0.124969    -0.000549
0.022800    -0.363245    -0.026058    -0.002909    +0.124896    -0.000543
0.023000    -0.354547    -0.026128    -0.002936    +0.124826    -0.000535
0.023200    -0.346893    -0.026198    -0.002962    +0.124756    -0.000527
0.023400    -0.340184    -0.026266    -0.002987    +0.124688    -0.000518
0.023600    -0.331946    -0.026332    -0.003011    +0.124622    -0.000508
0.023800    -0.325494    -0.026397    -0.003034    +0.124557    -0.000498
0.024000    -0.318661    -0.026461    -0.003057    +0.124493    -0.000487
0.024200    -0.311730    -0.026523    -0.003078    +0.124431    -0.000475
0.024400    -0.305741    -0.026585    -0.003098    +0.124369    -0.000463
0.024600    -0.299552    -0.026644    -0.003118    +0.124310    -0.000449
0.024800    -0.294412    -0.026703    -0.003137    +0.124251    -0.000436
0.025000    -0.288113    -0.026761    -0.003155    +0.124193    -0.000422
0.025200    -0.283712    -0.026818    -0.003172    +0.124136    -0.000407
0.025400    -0.279119    -0.026873    -0.003189    +0.124081    -0.000392
0.025600    -0.275877    -0.026929    -0.003205    +0.124025    -0.000376
0.025800    -0.271135    -0.026983    -0.003220    +0.123971    -0.000361
0.026000    -0.266732    -0.027036    -0.003235    +0.123918    -0.000344
0.026200    -0.263487    -0.027089    -0.003248    +0.123865    -0.000328
0.026400    -0.261169    -0.027141    -0.003262    +0.123813    -0.000311
0.026600    -0.258502    -0.027193    -0.003275    +0.123761    -0.000293
0.026800    -0.256091    -0.027244    -0.003288    +0.123710    -0.000276
0.027000    -0.254053    -0.027295    -0.003300    +0.123659    -0.000258
0.027200    -0.252174    -0.027345    -0.003312    +0.123609    -0.000240
0.027400    -0.246718    -0.027395    -0.003324    +0.123559    -0.000222
0.027600    -0.242928    -0.027443    -0.003335    +0.123511    -0.000204
0.027800    -0.240004    -0.027491    -0.003346    +0.123463    -0.000186
0.028000    -0.237660    -0.027539    -0.003357    +0.123415    -0.000168
0.028200    -0.236260    -0.027586    -0.003367    +0.123368    -0.000150
0.028400    -0.233640    -0.027633    -0.003377    +0.123321    -0.000132
0.028600    -0.230240    -0.027679    -0.003387    +0.123275    -0.000113
0.028800    -0.226522    -0.027724    -0.003395    +0.123230    -0.000095
0.029000    -0.222720    -0.027769    -0.003404    +0.123185    -0.000075
0.029200    -0.218899    -0.027813    -0.003411    +0.123141    -0.000056
0.029400    -0.213625    -0.027855    -0.003418    +0.123099    -0.000036
0.029600    -0.207576    -0.027897    -0.003424    +0.123057    -0.000016
0.029800    -0.201405    -0.027937    -0.003430    +0.123017    +0.000005
0.030000    -0.194737    -0.027977    -0.003434    +0.122977    +0.000025
0.030200    -0.188092    -0.028014    -0.003437    +0.122940    +0.000046
0.030400    -0.181941    -0.028051    -0.003440    +0.122903    +0.000067
0.030600    -0.176541    -0.028086    -0.003441    +0.122868    +0.000088
0.030800    -0.172625    -0.028120    -0.003442    +0.122834    +0.000109
0.031000    -0.169024    -0.028154    -0.003443    +0.122800    +0.000130
0.031200    -0.166086    -0.028187    -0.003443    +0.122767    +0.000152
0.031400    -0.163817    -0.028220    -0.003442    +0.122734    +0.000173
0.031600    -0.161436    -0.028252    -0.003442    +0.122702    +0.000195
0.031800    -0.158534    -0.028284    -0.003440    +0.122670    +0.000216
0.032000    -0.154961    -0.028315    -0.003439    +0.122639    +0.000238
0.032200    -0.151427    -0.028345    -0.003437    +0.122609    +0.000259
0.032400    -0.147771    -0.028375    -0.003434    +0.122579    +0.000281
0.032600    -0.144553    -0.028404    -0.003431    +0.122550    +0.000302
0.032800    -0.141526    -0.028432    -0.003427    +0.122522    +0.000324
0.033000    -0.138959    -0.028460    -0.003423    +0.122494    +0.000345
0.033200    -0.137116    -0.028487    -0.003419    +0.122467    +0.000367
0.033400    -0.134165    -0.028514    -0.003414    +0.122440    +0.000388
0.033600    -0.131426    -0.028540    -0.003409    +0.122414    +0.000409
0.033800    -0.129483    -0.028566    -0.003404    +0.122388    +0.000430
0.034000    -0.127984    -0.028592    -0.003398    +0.122362    +0.000451
0.034200    -0.126713    -0.028617    -0.003392    +0.122337    +0.000472
0.034400    -0.125537    -0.028642    -0.003386    +0.122312    +0.000492
0.034600    -0.124754    -0.028667    -0.003380    +0.122287    +0.000513
0.034800    -0.123969    -0.028692    -0.003374    +0.122262    +0.000534
0.035000    -0.123322    -0.028717    -0.003367    +0.122237    +0.000554
0.035200    -0.122808    -0.028741    -0.003360    +0.122213    +0.000575
0.035400    -0.121932    -0.028765    -0.003353    +0.122189    +0.000595
0.035600    -0.120313    -0.028790    -0.003345    +0.122164    +0.000616
0.035800    -0.118604    -0.028813    -0.003338    +0.122141    +0.000636
0.036000    -0.117142    -0.028837    -0.003330    +0.122117    +0.000656
0.036200    -0.115628    -0.028860    -0.003321    +0.122094    +0.000677
0.036400    -0.114080    -0.028883    -0.003312    +0.122071    +0.000696
0.036600    -0.112033    -0.028905    -0.003303    +0.122049    +0.000716
0.036800    -0.109975    -0.028927    -0.003293    +0.122027    +0.000736
