# This is the run log of SGP from Fri Jan 15 14:36:24 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two unit spheres with rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 0.125 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

0.125000    8.000000    0.000000
0.250000    7.986350    -0.109203
0.375000    7.959049    -0.218406
0.500000    7.918051    -0.327983
0.625000    7.863262    -0.438313
0.750000    7.794538    -0.549788
0.875000    7.711685    -0.662822
1.000000    7.614453    -0.777858
1.125000    7.502531    -0.895379
1.250000    7.375540    -1.015921
1.375000    7.233029    -1.140086
1.500000    7.074459    -1.268564
1.625000    6.899190    -1.402154
1.750000    6.706465    -1.541800
1.875000    6.495386    -1.688631
2.000000    6.264884    -1.844022
2.125000    6.013674    -2.009677
2.250000    5.740205    -2.187747
2.375000    5.442580    -2.381003
2.500000    5.118441    -2.593113
2.625000    4.764809    -2.829055
2.750000    4.377831    -3.095826
2.875000    3.952372    -3.403666
3.000000    3.481331    -3.768333
3.125000    2.954364    -4.215736
3.250000    2.355313    -4.792402
