# This is the run log of SGP
# Time step used = 0.00390625
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
0.003906    8.000000    0.000000
0.007813    8.000000    -0.000034
0.011719    8.000000    -0.000068
0.015625    7.999999    -0.000102
0.019531    7.999999    -0.000137
0.023438    7.999998    -0.000171
0.027344    7.999997    -0.000205
0.031250    7.999996    -0.000239
0.035156    7.999995    -0.000273
0.039063    7.999994    -0.000307
0.042969    7.999992    -0.000341
0.046875    7.999991    -0.000375
0.050781    7.999990    -0.000410
0.054688    7.999988    -0.000444
0.058594    7.999986    -0.000478
0.062500    7.999984    -0.000512
0.066406    7.999982    -0.000546
0.070313    7.999979    -0.000580
0.074219    7.999977    -0.000614
0.078125    7.999975    -0.000648
0.082031    7.999972    -0.000683
0.085938    7.999969    -0.000717
0.089844    7.999966    -0.000751
0.093750    7.999963    -0.000785
0.097656    7.999960    -0.000819
0.101563    7.999957    -0.000853
0.105469    7.999953    -0.000887
0.109375    7.999949    -0.000921
0.113281    7.999946    -0.000956
0.117188    7.999942    -0.000990
0.121094    7.999938    -0.001024
0.125000    7.999934    -0.001058
0.128906    7.999929    -0.001092
0.132813    7.999925    -0.001126
0.136719    7.999920    -0.001160
0.140625    7.999916    -0.001194
0.144531    7.999911    -0.001229
0.148438    7.999906    -0.001263
0.152344    7.999901    -0.001297
0.156250    7.999896    -0.001331
0.160156    7.999890    -0.001365
0.164063    7.999885    -0.001399
0.167969    7.999879    -0.001433
0.171875    7.999874    -0.001467
0.175781    7.999868    -0.001502
0.179688    7.999862    -0.001536
0.183594    7.999856    -0.001570
0.187500    7.999849    -0.001604
0.191406    7.999843    -0.001638
0.195313    7.999836    -0.001672
0.199219    7.999830    -0.001706
0.203125    7.999823    -0.001740
0.207031    7.999816    -0.001775
0.210938    7.999809    -0.001809
0.214844    7.999802    -0.001843
0.218750    7.999794    -0.001877
0.222656    7.999787    -0.001911
0.226563    7.999779    -0.001945
0.230469    7.999772    -0.001979
0.234375    7.999764    -0.002013
0.238281    7.999756    -0.002048
0.242188    7.999748    -0.002082
0.246094    7.999740    -0.002116
0.250000    7.999731    -0.002150
0.253906    7.999722    -0.002184
0.257813    7.999714    -0.002218
0.261719    7.999705    -0.002252
0.265625    7.999696    -0.002286
0.269531    7.999687    -0.002321
0.273438    7.999678    -0.002355
0.277344    7.999669    -0.002389
0.281250    7.999659    -0.002423
0.285156    7.999650    -0.002457
0.289063    7.999640    -0.002491
0.292969    7.999630    -0.002525
0.296875    7.999620    -0.002560
0.300781    7.999610    -0.002594
0.304688    7.999599    -0.002628
0.308594    7.999589    -0.002662
0.312500    7.999578    -0.002696
0.316406    7.999568    -0.002730
0.320313    7.999557    -0.002764
0.324219    7.999546    -0.002798
0.328125    7.999535    -0.002833
0.332031    7.999524    -0.002867
0.335938    7.999513    -0.002901
0.339844    7.999501    -0.002935
0.343750    7.999490    -0.002969
0.347656    7.999478    -0.003003
0.351563    7.999466    -0.003037
0.355469    7.999454    -0.003071
0.359375    7.999442    -0.003106
0.363281    7.999430    -0.003140
0.367188    7.999417    -0.003174
0.371094    7.999405    -0.003208
0.375000    7.999392    -0.003242
0.378906    7.999379    -0.003276
0.382813    7.999366    -0.003310
0.386719    7.999353    -0.003345
0.390625    7.999340    -0.003379
0.394531    7.999327    -0.003413
0.398438    7.999313    -0.003447
0.402344    7.999300    -0.003481
0.406250    7.999286    -0.003515
0.410156    7.999272    -0.003549
0.414063    7.999258    -0.003583
0.417969    7.999244    -0.003618
0.421875    7.999229    -0.003652
0.425781    7.999215    -0.003686
0.429688    7.999201    -0.003720
0.433594    7.999186    -0.003754
0.437500    7.999171    -0.003788
0.441406    7.999156    -0.003822
0.445313    7.999141    -0.003857
0.449219    7.999126    -0.003891
0.453125    7.999111    -0.003925
0.457031    7.999095    -0.003959
0.460938    7.999080    -0.003993
0.464844    7.999064    -0.004027
0.468750    7.999048    -0.004061
0.472656    7.999032    -0.004095
0.476563    7.999016    -0.004130
0.480469    7.999000    -0.004164
0.484375    7.998983    -0.004198
0.488281    7.998967    -0.004232
0.492188    7.998950    -0.004266
0.496094    7.998933    -0.004300
0.500000    7.998916    -0.004334
0.503906    7.998899    -0.004369
0.507813    7.998882    -0.004403
0.511719    7.998865    -0.004437
0.515625    7.998847    -0.004471
0.519531    7.998829    -0.004505
0.523438    7.998812    -0.004539
0.527344    7.998794    -0.004573
0.531250    7.998776    -0.004607
0.535156    7.998758    -0.004642
0.539063    7.998740    -0.004676
0.542969    7.998721    -0.004710
0.546875    7.998703    -0.004744
0.550781    7.998684    -0.004778
0.554688    7.998665    -0.004812
0.558594    7.998646    -0.004846
0.562500    7.998627    -0.004881
0.566406    7.998608    -0.004915
0.570313    7.998589    -0.004949
0.574219    7.998569    -0.004983
0.578125    7.998549    -0.005017
0.582031    7.998530    -0.005051
0.585938    7.998510    -0.005085
0.589844    7.998490    -0.005120
0.593750    7.998470    -0.005154
0.597656    7.998450    -0.005188
0.601563    7.998429    -0.005222
0.605469    7.998409    -0.005256
0.609375    7.998388    -0.005290
0.613281    7.998367    -0.005324
0.617188    7.998346    -0.005358
0.621094    7.998325    -0.005393
0.625000    7.998304    -0.005427
0.628906    7.998283    -0.005461
0.632813    7.998261    -0.005495
0.636719    7.998240    -0.005529
0.640625    7.998218    -0.005563
0.644531    7.998196    -0.005597
0.648438    7.998174    -0.005632
0.652344    7.998152    -0.005666
0.656250    7.998130    -0.005700
0.660156    7.998107    -0.005734
0.664063    7.998085    -0.005768
0.667969    7.998062    -0.005802
0.671875    7.998039    -0.005836
0.675781    7.998016    -0.005871
0.679688    7.997993    -0.005905
0.683594    7.997970    -0.005939
0.687500    7.997947    -0.005973
0.691406    7.997923    -0.006007
0.695313    7.997900    -0.006041
0.699219    7.997876    -0.006075
0.703125    7.997852    -0.006110
0.707031    7.997828    -0.006144
0.710938    7.997804    -0.006178
0.714844    7.997780    -0.006212
0.718750    7.997756    -0.006246
0.722656    7.997731    -0.006280
0.726563    7.997706    -0.006314
0.730469    7.997682    -0.006349
0.734375    7.997657    -0.006383
0.738281    7.997632    -0.006417
0.742188    7.997606    -0.006451
0.746094    7.997581    -0.006485
0.750000    7.997556    -0.006519
0.753906    7.997530    -0.006554
0.757813    7.997504    -0.006588
0.761719    7.997478    -0.006622
0.765625    7.997452    -0.006656
0.769531    7.997426    -0.006690
0.773438    7.997400    -0.006724
0.777344    7.997374    -0.006758
0.781250    7.997347    -0.006793
0.785156    7.997320    -0.006827
0.789063    7.997293    -0.006861
0.792969    7.997267    -0.006895
0.796875    7.997240    -0.006929
