# This is the run log of SGP from Fri Jan 15 14:37:52 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two unit spheres with rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 0.005 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

0.005000    8.000000    0.000000
0.010000    7.999978    -0.004368
0.015000    7.999934    -0.008736
0.020000    7.999869    -0.013104
0.025000    7.999782    -0.017473
0.030000    7.999672    -0.021841
0.035000    7.999541    -0.026209
0.040000    7.999388    -0.030578
0.045000    7.999214    -0.034946
0.050000    7.999017    -0.039315
0.055000    7.998799    -0.043684
0.060000    7.998559    -0.048053
0.065000    7.998296    -0.052423
0.070000    7.998012    -0.056792
0.075000    7.997706    -0.061162
0.080000    7.997379    -0.065533
0.085000    7.997029    -0.069903
0.090000    7.996658    -0.074274
0.095000    7.996264    -0.078646
0.100000    7.995849    -0.083017
0.105000    7.995412    -0.087390
0.110000    7.994954    -0.091762
0.115000    7.994473    -0.096135
0.120000    7.993970    -0.100509
0.125000    7.993446    -0.104883
0.130000    7.992899    -0.109258
0.135000    7.992331    -0.113633
0.140000    7.991741    -0.118009
0.145000    7.991129    -0.122386
0.150000    7.990496    -0.126763
0.155000    7.989840    -0.131141
0.160000    7.989162    -0.135519
0.165000    7.988463    -0.139898
0.170000    7.987741    -0.144278
0.175000    7.986998    -0.148659
0.180000    7.986233    -0.153041
0.185000    7.985445    -0.157423
0.190000    7.984636    -0.161806
0.195000    7.983805    -0.166190
0.200000    7.982952    -0.170575
0.205000    7.982077    -0.174961
0.210000    7.981180    -0.179348
0.215000    7.980261    -0.183736
0.220000    7.979321    -0.188124
0.225000    7.978358    -0.192514
0.230000    7.977373    -0.196905
0.235000    7.976367    -0.201297
0.240000    7.975338    -0.205690
0.245000    7.974288    -0.210084
0.250000    7.973215    -0.214479
0.255000    7.972121    -0.218875
0.260000    7.971004    -0.223273
0.265000    7.969866    -0.227672
0.270000    7.968706    -0.232072
0.275000    7.967524    -0.236473
0.280000    7.966319    -0.240875
0.285000    7.965093    -0.245279
0.290000    7.963844    -0.249684
0.295000    7.962574    -0.254091
0.300000    7.961281    -0.258499
0.305000    7.959967    -0.262908
0.310000    7.958630    -0.267319
0.315000    7.957272    -0.271731
0.320000    7.955891    -0.276144
0.325000    7.954488    -0.280560
0.330000    7.953063    -0.284976
0.335000    7.951616    -0.289395
0.340000    7.950147    -0.293814
0.345000    7.948656    -0.298236
0.350000    7.947142    -0.302659
