# This is the run log of SGP from Fri Jan 15 14:35:30 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two unit spheres with rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 0.25 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

0.250000    8.000000    0.000000
0.500000    7.945398    -0.218406
0.750000    7.836195    -0.436812
1.000000    7.671638    -0.658231
1.250000    7.450172    -0.885863
1.500000    7.169331    -1.123366
1.750000    6.825531    -1.375199
2.000000    6.413744    -1.647148
2.250000    5.926949    -1.947183
2.500000    5.355203    -2.286981
2.750000    4.683981    -2.684889
3.000000    3.890907    -3.172298
3.250000    2.938555    -3.809408
