# This is the run log of SGP
# Time step used = 0.03125
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
0.031250    8.000000    0.000000
0.062500    7.999991    -0.000273
0.093750    7.999974    -0.000546
0.125000    7.999949    -0.000819
0.156250    7.999914    -0.001092
0.187500    7.999872    -0.001365
0.218750    7.999821    -0.001638
0.250000    7.999761    -0.001911
0.281250    7.999693    -0.002184
0.312500    7.999616    -0.002457
0.343750    7.999531    -0.002730
0.375000    7.999437    -0.003003
0.406250    7.999334    -0.003276
0.437500    7.999223    -0.003549
0.468750    7.999104    -0.003822
0.500000    7.998976    -0.004095
0.531250    7.998840    -0.004368
0.562500    7.998695    -0.004642
0.593750    7.998541    -0.004915
0.625000    7.998379    -0.005188
0.656250    7.998209    -0.005461
0.687500    7.998029    -0.005734
0.718750    7.997841    -0.006007
0.750000    7.997645    -0.006280
0.781250    7.997440    -0.006553
0.812500    7.997227    -0.006827
0.843750    7.997005    -0.007100
0.875000    7.996775    -0.007373
0.906250    7.996536    -0.007646
0.937500    7.996289    -0.007919
0.968750    7.996033    -0.008193
1.000000    7.995768    -0.008466
1.031250    7.995495    -0.008739
1.062500    7.995213    -0.009012
1.093750    7.994923    -0.009286
1.125000    7.994624    -0.009559
1.156250    7.994317    -0.009832
1.187500    7.994001    -0.010106
1.218750    7.993677    -0.010379
1.250000    7.993344    -0.010653
1.281250    7.993003    -0.010926
1.312500    7.992653    -0.011200
1.343750    7.992294    -0.011473
1.375000    7.991927    -0.011747
1.406250    7.991551    -0.012020
1.437500    7.991167    -0.012294
1.468750    7.990774    -0.012567
1.500000    7.990373    -0.012841
1.531250    7.989963    -0.013114
1.562500    7.989545    -0.013388
1.593750    7.989118    -0.013662
1.625000    7.988683    -0.013936
1.656250    7.988239    -0.014209
1.687500    7.987786    -0.014483
1.718750    7.987325    -0.014757
1.750000    7.986856    -0.015031
1.781250    7.986377    -0.015305
1.812500    7.985890    -0.015579
1.843750    7.985395    -0.015852
1.875000    7.984891    -0.016126
1.906250    7.984378    -0.016400
1.937500    7.983857    -0.016674
1.968750    7.983327    -0.016949
2.000000    7.982789    -0.017223
2.031250    7.982242    -0.017497
2.062500    7.981687    -0.017771
2.093750    7.981122    -0.018045
2.125000    7.980550    -0.018319
2.156250    7.979969    -0.018594
2.187500    7.979379    -0.018868
2.218750    7.978780    -0.019143
2.250000    7.978173    -0.019417
2.281250    7.977558    -0.019691
2.312500    7.976934    -0.019966
2.343750    7.976302    -0.020240
2.375000    7.975661    -0.020515
2.406250    7.975012    -0.020790
2.437500    7.974354    -0.021064
2.468750    7.973687    -0.021339
2.500000    7.973012    -0.021614
2.531250    7.972328    -0.021889
2.562500    7.971635    -0.022163
2.593750    7.970934    -0.022438
2.625000    7.970224    -0.022713
2.656250    7.969505    -0.022988
2.687500    7.968778    -0.023263
2.718750    7.968042    -0.023539
2.750000    7.967298    -0.023814
2.781250    7.966545    -0.024089
2.812500    7.965784    -0.024364
2.843750    7.965014    -0.024639
2.875000    7.964235    -0.024915
2.906250    7.963448    -0.025190
2.937500    7.962652    -0.025466
2.968750    7.961847    -0.025741
3.000000    7.961034    -0.026017
3.031250    7.960213    -0.026292
