# This is the run log of SGP
# Time step used = 0.015625
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
0.015625    8.000000    0.000000
0.031250    7.999998    -0.000137
0.046875    7.999994    -0.000273
0.062500    7.999988    -0.000410
0.078125    7.999979    -0.000546
0.093750    7.999969    -0.000683
0.109375    7.999956    -0.000819
0.125000    7.999941    -0.000956
0.140625    7.999924    -0.001092
0.156250    7.999905    -0.001229
0.171875    7.999883    -0.001365
0.187500    7.999860    -0.001502
0.203125    7.999834    -0.001638
0.218750    7.999806    -0.001775
0.234375    7.999776    -0.001911
0.250000    7.999744    -0.002048
0.265625    7.999710    -0.002184
0.281250    7.999674    -0.002321
0.296875    7.999635    -0.002457
0.312500    7.999595    -0.002594
0.328125    7.999552    -0.002730
0.343750    7.999507    -0.002867
0.359375    7.999461    -0.003003
0.375000    7.999412    -0.003140
0.390625    7.999361    -0.003276
0.406250    7.999307    -0.003413
0.421875    7.999252    -0.003549
0.437500    7.999194    -0.003686
0.453125    7.999135    -0.003822
0.468750    7.999073    -0.003959
0.484375    7.999009    -0.004095
0.500000    7.998942    -0.004232
0.515625    7.998874    -0.004368
0.531250    7.998804    -0.004505
0.546875    7.998731    -0.004642
0.562500    7.998656    -0.004778
0.578125    7.998580    -0.004915
0.593750    7.998500    -0.005051
0.609375    7.998419    -0.005188
0.625000    7.998336    -0.005324
0.640625    7.998251    -0.005461
0.656250    7.998164    -0.005597
0.671875    7.998074    -0.005734
0.687500    7.997983    -0.005871
0.703125    7.997889    -0.006007
0.718750    7.997793    -0.006144
0.734375    7.997694    -0.006280
0.750000    7.997594    -0.006417
0.765625    7.997492    -0.006553
0.781250    7.997387    -0.006690
0.796875    7.997281    -0.006827
0.812500    7.997172    -0.006963
0.828125    7.997061    -0.007100
0.843750    7.996948    -0.007236
0.859375    7.996832    -0.007373
0.875000    7.996715    -0.007510
0.890625    7.996595    -0.007646
0.906250    7.996474    -0.007783
0.921875    7.996350    -0.007919
0.937500    7.996224    -0.008056
0.953125    7.996096    -0.008193
0.968750    7.995966    -0.008329
0.984375    7.995834    -0.008466
1.000000    7.995699    -0.008603
1.015625    7.995563    -0.008739
1.031250    7.995424    -0.008876
1.046875    7.995284    -0.009013
1.062500    7.995141    -0.009149
1.078125    7.994996    -0.009286
1.093750    7.994848    -0.009423
1.109375    7.994699    -0.009559
1.125000    7.994547    -0.009696
1.140625    7.994394    -0.009833
1.156250    7.994238    -0.009969
