# This is the run log of SGP from Fri Jan 15 14:37:05 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two unit spheres with rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 0.05 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

0.050000    8.000000    0.000000
0.100000    7.997816    -0.043681
0.150000    7.993448    -0.087362
0.200000    7.986895    -0.131068
0.250000    7.978154    -0.174820
0.300000    7.967221    -0.218645
0.350000    7.954093    -0.262566
0.400000    7.938763    -0.306607
0.450000    7.921223    -0.350794
0.500000    7.901465    -0.395152
0.550000    7.879480    -0.439706
0.600000    7.855256    -0.484484
0.650000    7.828780    -0.529511
0.700000    7.800039    -0.574817
0.750000    7.769018    -0.620430
0.800000    7.735699    -0.666380
0.850000    7.700064    -0.712697
0.900000    7.662093    -0.759414
0.950000    7.621765    -0.806565
1.000000    7.579056    -0.854183
1.050000    7.533940    -0.902308
1.100000    7.486392    -0.950976
1.150000    7.436380    -1.000229
1.200000    7.383874    -1.050109
1.250000    7.328841    -1.100663
1.300000    7.271245    -1.151938
1.350000    7.211045    -1.203986
1.400000    7.148202    -1.256861
1.450000    7.082671    -1.310624
1.500000    7.014404    -1.365336
1.550000    6.943351    -1.421064
1.600000    6.869457    -1.477883
1.649999    6.792664    -1.535871
1.699999    6.712908    -1.595113
1.749999    6.630123    -1.655702
1.799999    6.544236    -1.717740
1.849999    6.455169    -1.781336
1.899999    6.362838    -1.846612
1.949999    6.267153    -1.913703
1.999999    6.168015    -1.982754
2.049999    6.065319    -2.053930
2.099999    5.958949    -2.127413
2.149999    5.848778    -2.203405
2.199999    5.734672    -2.282134
2.249999    5.616479    -2.363857
2.299999    5.494036    -2.448864
2.349999    5.367161    -2.537488
2.399999    5.235656    -2.630105
2.449999    5.099298    -2.727153
2.499999    4.957842    -2.829137
2.549999    4.811009    -2.936648
2.599999    4.658490    -3.050382
2.649999    4.499932    -3.171164
2.699999    4.334933    -3.299984
2.749999    4.163031    -3.438043
2.799999    3.983690    -3.586811
2.849998    3.796284    -3.748119
2.899998    3.600070    -3.924277
2.949998    3.394157    -4.118258
2.999998    3.177459    -4.333959
3.049998    2.948628    -4.576626
3.099998    2.705952    -4.853521
3.149998    2.447199    -5.175061
3.199998    2.169356    -5.556859
