# This is the run log of Verify
# Experiment type: SPRINGER (6)
# Time step used = 0.004
# Columns are (values in code units):
# [t]    [x]    [v]

0.788001    7.063797    -7.072226
0.792001    7.035395    -7.100594
0.796001    7.006880    -7.128849
0.800001    6.978252    -7.156991
0.804001    6.949512    -7.185018
0.808001    6.920660    -7.212931
0.812001    6.891697    -7.240729
0.816001    6.862624    -7.268412
0.820001    6.833440    -7.295979
0.824001    6.804146    -7.323430
0.828001    6.774743    -7.350763
0.832001    6.745231    -7.377980
0.836001    6.715611    -7.405079
0.840001    6.685883    -7.432060
0.844001    6.656047    -7.458922
0.848001    6.626104    -7.485666
0.852001    6.596055    -7.512290
0.856001    6.565900    -7.538795
0.860001    6.535639    -7.565179
0.864001    6.505273    -7.591443
0.868001    6.474803    -7.617585
0.872001    6.444229    -7.643606
0.876001    6.413551    -7.669506
0.880001    6.382770    -7.695282
0.884001    6.351886    -7.720937
0.888001    6.320900    -7.746468
0.892001    6.289813    -7.771875
0.896001    6.258624    -7.797159
0.900001    6.227335    -7.822319
0.904001    6.195946    -7.847353
0.908001    6.164457    -7.872262
0.912001    6.132869    -7.897046
0.916001    6.101182    -7.921704
0.920001    6.069397    -7.946235
0.924001    6.037514    -7.970640
0.928001    6.005535    -7.994917
0.932001    5.973458    -8.019068
0.936001    5.941286    -8.043090
0.940001    5.909018    -8.066984
0.944001    5.876655    -8.090750
0.948001    5.844198    -8.114386
0.952001    5.811646    -8.137892
0.956001    5.779001    -8.161268
0.960001    5.746263    -8.184515
0.964001    5.713432    -8.207631
0.968001    5.680510    -8.230617
0.972001    5.647496    -8.253470
0.976001    5.614391    -8.276193
0.980001    5.581196    -8.298782
0.984001    5.547911    -8.321239
0.988001    5.514536    -8.343564
0.992001    5.481073    -8.365756
0.996001    5.447522    -8.387815
1.000001    5.413883    -8.409739
1.004001    5.380157    -8.431529
1.008001    5.346344    -8.453184
1.012001    5.312446    -8.474705
1.016001    5.278461    -8.496090
1.020001    5.244392    -8.517340
1.024001    5.210238    -8.538453
1.028001    5.176000    -8.559431
1.032001    5.141679    -8.580272
1.036001    5.107275    -8.600976
1.040001    5.072789    -8.621543
1.044001    5.038221    -8.641972
1.048001    5.003572    -8.662263
1.052001    4.968843    -8.682416
1.056001    4.934033    -8.702431
1.060001    4.899144    -8.722306
1.064000    4.864175    -8.742043
1.068000    4.829129    -8.761639
1.072000    4.794004    -8.781096
1.076000    4.758803    -8.800412
1.080000    4.723525    -8.819589
1.084000    4.688170    -8.838624
1.088000    4.652740    -8.857518
1.092000    4.617235    -8.876271
1.096000    4.581655    -8.894882
1.100000    4.546001    -8.913351
1.104000    4.510275    -8.931678
1.108000    4.474475    -8.949862
1.112000    4.438604    -8.967902
1.116000    4.402661    -8.985800
1.120000    4.366647    -9.003554
1.124000    4.330562    -9.021165
1.128000    4.294407    -9.038631
1.132000    4.258183    -9.055954
1.136000    4.221891    -9.073132
1.140000    4.185530    -9.090164
1.143999    4.149102    -9.107052
1.147999    4.112607    -9.123794
1.151999    4.076046    -9.140390
1.155999    4.039418    -9.156841
1.159999    4.002726    -9.173145
1.163999    3.965968    -9.189303
1.167999    3.929147    -9.205315
1.171999    3.892262    -9.221178
1.175999    3.855315    -9.236895
1.179999    3.818305    -9.252463
1.183999    3.781233    -9.267884
1.187999    3.744101    -9.283157
1.191999    3.706908    -9.298283
1.195999    3.669654    -9.313259
1.199999    3.632342    -9.328087
1.203999    3.594971    -9.342766
1.207999    3.557542    -9.357295
1.211999    3.520055    -9.371675
1.215999    3.482512    -9.385904
1.219998    3.444911    -9.399984
1.223998    3.407256    -9.413915
1.227998    3.369545    -9.427694
1.231998    3.331780    -9.441323
1.235998    3.293961    -9.454802
1.239998    3.256088    -9.468128
1.243998    3.218163    -9.481304
1.247998    3.180186    -9.494328
1.251998    3.142157    -9.507201
1.255998    3.104077    -9.519922
1.259998    3.065947    -9.532491
1.263998    3.027768    -9.544907
1.267998    2.989539    -9.557171
1.271998    2.951262    -9.569282
1.275998    2.912937    -9.581240
1.279998    2.874564    -9.593044
1.283998    2.836146    -9.604696
1.287998    2.797681    -9.616195
1.291998    2.759171    -9.627540
1.295998    2.720616    -9.638730
1.299997    2.682017    -9.649767
1.303997    2.643374    -9.660649
1.307997    2.604689    -9.671377
1.311997    2.565961    -9.681951
1.315997    2.527191    -9.692369
1.319997    2.488381    -9.702633
1.323997    2.449530    -9.712742
1.327997    2.410639    -9.722695
1.331997    2.371709    -9.732493
1.335997    2.332741    -9.742136
1.339997    2.293734    -9.751623
1.343997    2.254690    -9.760954
1.347997    2.215610    -9.770129
1.351997    2.176493    -9.779148
1.355997    2.137341    -9.788011
1.359997    2.098154    -9.796717
1.363997    2.058933    -9.805266
1.367997    2.019678    -9.813659
1.371997    1.980391    -9.821895
1.375996    1.941071    -9.829973
1.379996    1.901719    -9.837894
1.383996    1.862336    -9.845658
1.387996    1.822923    -9.853265
1.391996    1.783480    -9.860714
1.395996    1.744008    -9.868006
1.399996    1.704508    -9.875139
1.403996    1.664979    -9.882115
1.407996    1.625424    -9.888933
1.411996    1.585841    -9.895593
1.415996    1.546233    -9.902095
1.419996    1.506599    -9.908439
1.423996    1.466941    -9.914623
1.427996    1.427258    -9.920650
1.431996    1.387552    -9.926517
1.435996    1.347823    -9.932226
1.439996    1.308072    -9.937777
1.443996    1.268299    -9.943168
1.447996    1.228506    -9.948400
1.451995    1.188692    -9.953473
1.455995    1.148858    -9.958387
1.459995    1.109006    -9.963142
1.463995    1.069135    -9.967738
1.467995    1.029246    -9.972175
1.471995    0.989340    -9.976451
1.475995    0.949418    -9.980568
1.479995    0.909480    -9.984526
1.483995    0.869526    -9.988323
1.487995    0.829559    -9.991961
1.491995    0.789577    -9.995440
1.495995    0.749582    -9.998757
1.499995    0.709574    -10.001916
1.503995    0.669554    -10.004914
1.507995    0.629523    -10.007752
1.511995    0.589482    -10.010430
1.515995    0.549430    -10.012948
1.519995    0.509369    -10.015306
1.523995    0.469299    -10.017503
1.527995    0.429220    -10.019540
1.531994    0.389135    -10.021417
1.535994    0.349042    -10.023133
1.539994    0.308944    -10.024690
1.543994    0.268839    -10.026086
1.547994    0.228730    -10.027322
1.551994    0.188616    -10.028398
1.555994    0.148499    -10.029312
1.559994    0.108379    -10.030066
1.563994    0.068256    -10.030661
1.567994    0.028132    -10.031095
1.571994    -0.011994    -10.031367
1.575994    -0.052120    -10.031480
1.579994    -0.092245    -10.031432
1.583994    -0.132370    -10.031223
1.587994    -0.172494    -10.030854
1.591994    -0.212615    -10.030325
1.595994    -0.252734    -10.029635
1.599994    -0.292849    -10.028785
1.603994    -0.332960    -10.027774
1.607993    -0.373066    -10.026603
1.611993    -0.413167    -10.025270
1.615993    -0.453262    -10.023778
