# This is the run log of SGP from Tue Feb 09 16:54:20 2016
# Experiment type: MAKE_SGP (1)
# Rubble elements: number = 11;  rho = 1000
# Material: eps = 1;  mu = 0
# Time step used = 0.02 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [time]    [long axis]    [a/b axes ratio]    [a/c axes ratio]    [U]    [K]

0.020000     17.7819    1.140431    1.016183      -1.18e+009               0
0.040000     17.7461    1.140312    1.016072      -1.18e+009       1.17e+006
0.060000     17.6745    1.140074    1.015848      -1.19e+009       4.69e+006
0.080000     17.5669    1.139712    1.015508      -1.19e+009       1.06e+007
0.100000      17.423    1.139209    1.014951       -1.2e+009       1.89e+007
0.120000     17.2419    1.138535    1.013995      -1.21e+009       2.97e+007
0.140000     17.0242    1.137759    1.012657      -1.23e+009       4.32e+007
0.160000     16.7686    1.136828    1.011138      -1.25e+009       5.96e+007
0.180000      16.474    1.135720    1.009436      -1.27e+009       7.92e+007
0.200000     16.1411    1.134547    1.006934      -1.29e+009       1.02e+008
0.220000      15.813    1.136481    1.000309      -1.32e+009       1.26e+008
0.240000     15.4419    1.138338    0.993295      -1.35e+009       1.53e+008
0.260000     15.1044    1.146054    0.990960      -1.38e+009       1.85e+008
0.280000     14.6813    1.151075    0.983999      -1.41e+009       2.16e+008
0.300000     14.2094    1.124877    0.976464      -1.44e+009       2.46e+008
0.320000     14.5769    1.193499    1.026973      -1.48e+009       2.82e+008
0.340000     14.3975    1.208703    1.019387      -1.51e+009        3.2e+008
0.360000     13.6346    1.151864    0.965328      -1.52e+009       3.28e+008
0.380000     13.6357    1.153034    0.969201      -1.53e+009        3.4e+008
0.400000     13.1823    1.118332    0.935109      -1.54e+009       3.54e+008
0.420000     13.3367    1.115885    0.919081      -1.53e+009       3.51e+008
0.440000     13.4333    1.113267    0.904238      -1.52e+009       3.44e+008
0.460000      13.447    1.104229    0.878397      -1.51e+009       3.48e+008
0.480000     13.9065    1.136502    0.885657      -1.51e+009        3.3e+008
0.500000     14.4542    1.182802    0.896640       -1.5e+009       3.31e+008
0.520000     14.6819    1.208209    0.890808      -1.48e+009       2.97e+008
0.540000     14.8522    1.224339    0.884786      -1.48e+009       2.86e+008
0.560000     14.9667    1.226522    0.878575      -1.47e+009       2.83e+008
0.580000     15.0598    1.223412    0.866419      -1.46e+009       2.79e+008
0.600000     15.1743    1.222809    0.851107      -1.45e+009       2.71e+008
0.620000     15.4516    1.243614    0.847958      -1.44e+009       2.63e+008
0.640000     15.6763    1.265426    0.844484      -1.43e+009       2.53e+008
0.660000     15.7529    1.280761    0.835554      -1.42e+009       2.51e+008
0.680000     16.2058    1.332818    0.848757      -1.42e+009       2.43e+008
0.700000     16.6098    1.380435    0.856261      -1.41e+009       2.41e+008
0.720000     17.0401    1.414347    0.866976      -1.41e+009       2.43e+008
0.740000     17.4225    1.422817    0.876451       -1.4e+009       2.38e+008
0.760000     17.7571    1.433352    0.885409      -1.39e+009       2.31e+008
0.780000     18.0447    1.446011    0.893927      -1.39e+009       2.28e+008
0.800000     18.2854    1.460922    0.902067      -1.39e+009       2.29e+008
0.820000     18.4793    1.466236    0.909884       -1.4e+009       2.35e+008
0.840000     18.6261    1.474031    0.917426       -1.4e+009       2.48e+008
0.860000     18.7253    1.484442    0.924743       -1.4e+009        2.5e+008
0.880000     18.7771    1.486893    0.931919      -1.41e+009        2.6e+008
0.900000     18.7814    1.484290    0.923882      -1.41e+009       2.69e+008
0.920000     18.9589    1.502003    0.926617      -1.41e+009       2.77e+008
0.940000     19.0832    1.522444    0.925290      -1.41e+009       2.77e+008
0.960000     19.1595    1.535712    0.923789      -1.42e+009       2.84e+008
0.980000     19.1885    1.545521    0.921497      -1.42e+009       2.92e+008
1.000000     19.1996    1.560929    0.920439      -1.42e+009       3.04e+008
1.020000     19.1638    1.567837    0.912429      -1.42e+009       2.97e+008
1.040000     19.0812    1.524135    0.904317      -1.41e+009       2.96e+008
1.060000     18.9515    1.485658    0.895991       -1.4e+009       2.88e+008
1.080000     18.7748    1.451483    0.887361      -1.39e+009       2.81e+008
1.100000     18.5718    1.381114    0.879311      -1.38e+009       2.82e+008
1.120000     18.3221    1.317800    0.870810      -1.37e+009       2.68e+008
1.140000     18.0254    1.260147    0.861753      -1.37e+009       2.64e+008
1.159999     17.6811    1.206848    0.852025      -1.37e+009       2.59e+008
1.179999     17.6103    1.178388    0.857154      -1.36e+009        2.6e+008
1.199999     17.4901    1.151690    0.860273      -1.35e+009       2.62e+008
1.219999     17.3208    1.126352    0.862800      -1.35e+009       2.52e+008
1.239999     17.1025    1.101986    0.864696      -1.34e+009       2.47e+008
1.259999     16.9125    1.083224    0.869913      -1.34e+009       2.46e+008
1.279999     16.6829    1.065414    0.887123      -1.35e+009       2.49e+008
1.299999     16.4116    1.048207    0.882106      -1.35e+009       2.54e+008
1.319999     16.1264    1.033207    0.878288      -1.36e+009        2.6e+008
1.339999     15.8868    1.024596    0.878977      -1.36e+009       2.72e+008
1.359999     15.8048    1.028679    0.886170      -1.36e+009       2.81e+008
1.379999      15.671    1.032528    0.892370      -1.36e+009       2.56e+008
1.399999     15.6879    1.049638    0.909492      -1.37e+009       2.59e+008
1.419999     15.6704    1.061294    0.928015      -1.38e+009       2.67e+008
1.439999      16.509    1.135279    0.969560      -1.38e+009       2.84e+008
1.459999     16.7736    1.128968    0.979838      -1.39e+009        2.9e+008
1.479999     17.0029    1.127410    0.990135       -1.4e+009       3.04e+008
1.499999     17.1965    1.126173    0.968567       -1.4e+009       3.11e+008
1.519999     17.3541    1.125271    1.004033      -1.41e+009       3.19e+008
1.539999     17.4756    1.116885    1.007670      -1.41e+009       3.28e+008
1.559999     17.5611    1.109142    1.011920      -1.41e+009       3.16e+008
1.579999     17.6168    1.102419    1.017185      -1.41e+009        3.2e+008
1.599999     17.8808    1.111494    1.032719       -1.4e+009        3.1e+008
1.619999     18.1006    1.120524    1.048559       -1.4e+009       3.08e+008
1.639999     18.2767    1.129618    1.059235      -1.41e+009       3.09e+008
1.659999     18.4092    1.138881    1.070315      -1.41e+009       3.12e+008
1.679999     18.4978    1.148413    1.081857      -1.41e+009       3.15e+008
1.699999     18.5423    1.152379    1.093921      -1.41e+009       3.22e+008
1.719999      18.542    1.152285    1.106583      -1.41e+009       3.22e+008
