# This is the run log of SGP from Tue Feb 09 16:53:40 2016
# Experiment type: MAKE_SGP (1)
# Rubble elements: number = 11;  rho = 1000
# Material: eps = 1;  mu = 0
# Time step used = 0.002 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [time]    [long axis]    [a/b axes ratio]    [a/c axes ratio]    [U]    [K]

0.002000     17.7819    1.140431    1.016183      -1.18e+009               0
0.004000     17.7815    1.140430    1.016182      -1.18e+009       1.17e+004
0.006000     17.7808    1.140428    1.016180      -1.18e+009       4.69e+004
0.008000     17.7797    1.140424    1.016176      -1.18e+009       1.06e+005
0.010000     17.7783    1.140419    1.016172      -1.18e+009       1.88e+005
0.012000     17.7765    1.140413    1.016166      -1.18e+009       2.93e+005
0.014000     17.7743    1.140406    1.016160      -1.18e+009       4.22e+005
0.016000     17.7718    1.140398    1.016152      -1.18e+009       5.75e+005
0.018000      17.769    1.140389    1.016143      -1.18e+009       7.51e+005
0.020000     17.7658    1.140378    1.016133      -1.18e+009        9.5e+005
0.022000     17.7622    1.140366    1.016122      -1.18e+009       1.17e+006
0.024000     17.7582    1.140353    1.016110      -1.18e+009       1.42e+006
0.026000     17.7539    1.140339    1.016096      -1.18e+009       1.69e+006
0.028000     17.7493    1.140323    1.016082      -1.18e+009       1.98e+006
0.030000     17.7443    1.140307    1.016066      -1.18e+009        2.3e+006
0.032000     17.7389    1.140289    1.016049      -1.18e+009       2.64e+006
0.034000     17.7332    1.140270    1.016032      -1.18e+009       3.01e+006
0.036000     17.7271    1.140249    1.016012      -1.18e+009        3.4e+006
0.038000     17.7206    1.140228    1.015992      -1.18e+009       3.81e+006
0.040000     17.7138    1.140205    1.015971      -1.18e+009       4.25e+006
0.042000     17.7066    1.140181    1.015948      -1.18e+009       4.71e+006
0.044000     17.6991    1.140156    1.015925      -1.18e+009        5.2e+006
0.046000     17.6912    1.140130    1.015900      -1.18e+009       5.71e+006
0.048000     17.6829    1.140102    1.015874      -1.18e+009       6.24e+006
0.050000     17.6743    1.140073    1.015847      -1.19e+009        6.8e+006
0.052000     17.6653    1.140043    1.015819      -1.19e+009       7.38e+006
0.054000      17.656    1.140012    1.015790      -1.19e+009       7.99e+006
0.056000     17.6463    1.139979    1.015759      -1.19e+009       8.62e+006
0.058000     17.6362    1.139945    1.015727      -1.19e+009       9.28e+006
0.060000     17.6258    1.139910    1.015695      -1.19e+009       9.96e+006
0.062000      17.615    1.139874    1.015661      -1.19e+009       1.07e+007
0.064000     17.6038    1.139836    1.015625      -1.19e+009       1.14e+007
0.066000     17.5923    1.139797    1.015589      -1.19e+009       1.22e+007
