# This is the run log of SGP from Tue Feb 09 16:54:46 2016
# Experiment type: MAKE_SGP (1)
# Rubble elements: number = 11;  rho = 1000
# Material: eps = 1;  mu = 0
# Time step used = 0.01 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [time]    [long axis]    [a/b axes ratio]    [a/c axes ratio]    [U]    [K]

0.010000     17.7819    1.140431    1.016183      -1.18e+009               0
0.020000     17.7729    1.140402    1.016155      -1.18e+009       2.93e+005
0.030000      17.755    1.140342    1.016100      -1.18e+009       1.17e+006
0.040000     17.7282    1.140253    1.016016      -1.18e+009       2.64e+006
0.050000     17.6923    1.140134    1.015904      -1.18e+009        4.7e+006
0.060000     17.6475    1.139983    1.015763      -1.19e+009       7.36e+006
0.070000     17.5936    1.139802    1.015593      -1.19e+009       1.06e+007
0.080000     17.5307    1.139589    1.015393       -1.2e+009       1.45e+007
0.090000     17.4586    1.139341    1.015149       -1.2e+009        1.9e+007
0.100000     17.3766    1.139019    1.014559      -1.21e+009       2.42e+007
0.110000     17.2854    1.138662    1.013935      -1.21e+009          3e+007
0.120000     17.1848    1.138268    1.013273      -1.22e+009       3.65e+007
0.130000     17.0748    1.137836    1.012572      -1.23e+009       4.37e+007
0.140000     16.9552    1.137364    1.011831      -1.23e+009       5.17e+007
0.150000      16.826    1.136850    1.011046      -1.24e+009       6.04e+007
0.160000     16.6869    1.136291    1.010216      -1.25e+009          7e+007
0.170000     16.5379    1.135687    1.009337      -1.27e+009       8.05e+007
0.180000     16.3787    1.135032    1.008406      -1.28e+009       9.16e+007
0.190000     16.2093    1.134325    1.007420      -1.29e+009       1.04e+008
0.200000     16.0512    1.135111    1.004506       -1.3e+009       1.16e+008
0.210000     15.8841    1.135983    1.001059      -1.31e+009       1.28e+008
0.220000      15.706    1.136834    0.997515      -1.33e+009       1.41e+008
0.230000     15.5169    1.137648    0.993866      -1.34e+009       1.56e+008
0.240000     15.3556    1.141362    0.992637      -1.36e+009        1.7e+008
0.250000     15.1829    1.145144    0.991331      -1.37e+009       1.85e+008
0.260000     14.9983    1.149007    0.989944      -1.39e+009          2e+008
0.270000     14.7849    1.151662    0.986729       -1.4e+009       2.16e+008
0.280000     14.5593    1.153315    0.983384      -1.42e+009        2.3e+008
0.290000     14.3227    1.132800    0.979154      -1.43e+009       2.47e+008
0.300000     14.0814    1.132289    1.028632      -1.45e+009       2.64e+008
0.310000     13.9117    1.131972    1.011936      -1.47e+009       2.82e+008
0.320000     14.5708    1.201103    1.086623      -1.48e+009       2.99e+008
0.330000     14.4687    1.196021    1.028215      -1.49e+009       2.94e+008
0.340000     13.8293    1.147737    0.986095       -1.5e+009       3.01e+008
0.350000     13.7404    1.145925    0.982618       -1.5e+009        3.1e+008
0.360000     13.6404    1.141620    0.979687      -1.51e+009       3.18e+008
0.370000     12.9989    1.092983    0.936741      -1.52e+009       3.27e+008
0.380000     13.0607    1.104521    0.945369      -1.53e+009       3.37e+008
0.390000     13.1419    1.121053    0.938921      -1.54e+009       3.55e+008
0.400000     13.2083    1.125077    0.932569      -1.54e+009        3.5e+008
0.410000     13.2618    1.127784    0.916515      -1.54e+009       3.44e+008
0.420000     13.2705    1.148037    0.899019      -1.53e+009       3.44e+008
0.430000      13.384    1.129367    0.890066      -1.52e+009       3.41e+008
0.440000     13.4726    1.126991    0.876688      -1.51e+009       3.29e+008
